Product_Name,Original Price,Ratings,Number of Reviews
"Psychology, 6e",₹679,4.4 out of 5 stars,159
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
Dark Psychology Secrets & Manipulation,₹159,4.2 out of 5 stars,332
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
The Psychology Book: Big Ideas Simply Explained,₹896,4.5 out of 5 stars,"4,255"
"Dark Psychology and Manipulation: The Dark Games That Manipulators Play and How to Turn the Tables on Them. (Psychology, Relationships and Self-Improvement Book 3)",₹0,4.0 out of 5 stars,137
"Psychology, 6e",₹679,4.4 out of 5 stars,159
Psychology 5th Edition,₹669,4.5 out of 5 stars,"2,290"
Introducing Psychology: A Graphic Guide (Graphic Guides),₹0,4.1 out of 5 stars,922
Psychopathology of Everyday Life by Sigmund Freud – A Masterpiece on Parapraxes | Psychoanalysis | Unconscious Mind | Masterful Exploration of Dream Analysis | Symbolic Behavior | Neurosis | Freud's Theories | Psychological Phenomena,₹148,4.2 out of 5 stars,984
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
The Time Machine,₹99,4.4 out of 5 stars,"4,520"
A Concise Textbook of Human Psychology: 1,₹299,4.2 out of 5 stars,383
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
Influence : The Psychology of Persuasion (New and Expanded),₹558,4.6 out of 5 stars,"4,649"
Games People Play (new),₹343,4.2 out of 5 stars,"4,562"
Criminal Psychology,₹425,4.4 out of 5 stars,135
Human Psychology : Learners Mindset,₹213,4.0 out of 5 stars,157
"Human Psychology: 4 Books in 1. How to Analyze People + Manipulation Techniques + Dark Psychology + Enneagram: Powerful Guides to Learn Persuasion, Mind Control, Body Language and People's Behaviour",₹0,4.3 out of 5 stars,74
"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness (Courage To series)",₹334,4.5 out of 5 stars,"12,676"
THE POWER OF YOUR SUBCONSCIOUS MIND,₹115,4.5 out of 5 stars,"81,119"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,₹339,4.5 out of 5 stars,"25,745"
The Power of A Positive Attitude: Your Road To Success,₹99,4.4 out of 5 stars,"4,399"
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
HOW TO STOP WORRYING AND START LIVING,₹148,4.4 out of 5 stars,"27,591"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
Dark Psychology Secrets & Manipulation (Hindi Edition),₹158,4.2 out of 5 stars,8
Introduction to Psychology 7th Ed ( English || Paperback ) ( Clifford Morgan || Richard A. King || John R. Weisz || John Schopler),₹590,4.3 out of 5 stars,71
CUET PG Psychology 2024 - Masters MSc MA Psychology Entrance Exam Preparation Book with MCQ Questions Bank - (2 Books Set) by Power Within Psychology - Edition 3,"₹1,709",4.6 out of 5 stars,329
"Dark Psychology for Beginners: 2 Books in 1: How to Analyze and Read People Using Persuasion, Mind Control and Manipulation Techniques",₹547,3.7 out of 5 stars,8
"Thinking, Fast & Slow (L)",₹464,4.5 out of 5 stars,"29,308"
How Psychology Works: The Facts Visually Explained (How Things Work),₹805,4.7 out of 5 stars,358
The Dictionary of Body Language,₹310,4.4 out of 5 stars,"4,515"
"CUET PG M.A/M.Sc Psychology/Applied Psychology (Test Paper Code-HUQP20) Entrance Exam Previous Year's Papers(English Medium); Second Revised Edition, January,2024",₹290,N/A,N/A
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
Stop Overthinking Nick Trenton,₹164,4.4 out of 5 stars,"9,281"
The Psychology Of Money Paperback – 1 September 2020,₹146,N/A,N/A
"How to Analyze People with Dark Psychology : The Only Guide You Need to Read Body Language, Decode Intentions and Human Personality Types to Uncover Manipulators Even Before the First Conversation",₹333,4.0 out of 5 stars,63
Psychology for Beginners,₹413,4.8 out of 5 stars,76
The Psychology of Money (Telugu),₹222,4.2 out of 5 stars,483
NLP Secrets + Dark Psychology Secrets and Manipulation combo set of 2 Books,₹212,4.1 out of 5 stars,12
Don't Believe Everything You Think (English),₹184,4.5 out of 5 stars,"4,278"
The Laws of Human Nature (Export TPB),₹537,4.6 out of 5 stars,"9,811"
The Time Machine,₹99,4.4 out of 5 stars,"4,520"
THE POWER OF YOUR SUBCONSCIOUS MIND,₹115,4.5 out of 5 stars,"81,119"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
Introduction To Psychology,₹745,N/A,N/A
AP TET Psychology Paper 1 & 2 (Child Development and Pedagogy) With Booklet 2024 (Telugu Medium),₹315,N/A,N/A
CUET MA/M.Sc Psychology/Applied Psychology ( Test Paper Code-HUQP20 ) Previous Year Papers & Practice Papers (English Medium),₹240,3.9 out of 5 stars,5
General Psychology,₹350,4.4 out of 5 stars,130
Dhan-Sampatti Ka Manovigyan (The Psychology of Money),₹150,4.3 out of 5 stars,"3,246"
Man's Search For Meaning: The classic tribute to hope from the Holocaust,₹220,4.5 out of 5 stars,"84,250"
"Manipulation and Dark Psychology : A Complete Guide to Excel in the Art of Pesuasion, improving your Social Skills for Leadership, Influencing People and Increasing your Emotional Intelligence",₹366,4.0 out of 5 stars,145
NTA UGC NET /SET/JRF Psychology Solved Papers 2022-2012,₹316,3.7 out of 5 stars,18
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
PSYCHOLOGY - Class - XII,₹410,4.3 out of 5 stars,67
Ikigai,₹311,4.6 out of 5 stars,"52,797"
How to Read People Like a Book: Uncover Hidden Body Language Cues and Unlock People’s Psychology so You Can Predict Human Behavior (Social Intelligence),₹0,3.2 out of 5 stars,5
Homeopathic Psychology - Personality Profiles of the Major Constitutional Remedies,₹349,4.5 out of 5 stars,430
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books) : Perfect Motivational Gift Set,₹339,4.5 out of 5 stars,"25,745"
"Buyestops Avni Publication Vastunisth Shiksha Manovigyan (Objective Education Psychology) New Edition By Dheersingh Dhabhai Useful For RPSC, REET, Teacher 1st Grade & 2nd Grade Exams",₹290,N/A,N/A
"Objective Psychology 3000+ MCQs Question Bank Book - Power Within Psychology - Useful for CUET, TISS, UGC NET JRF, MPhil Clinical psychology, UPHESC, SET, GATE, UPSC (Optional) - Edition 1 (2023)",₹809,4.1 out of 5 stars,4
Nta Ugc Net PSYCHOLOGY Previous Year Paper Book | To Upto Date,₹270,N/A,N/A
The Time Machine,₹99,4.4 out of 5 stars,"4,520"
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
The Little Book of Psychology: An Introduction to the Key Psychologists and Theories You Need to Know,₹308,4.5 out of 5 stars,"3,481"
"Buyestops Avni Publication Vastunisth Shiksha Manovigyan (Objective Education Psychology) New Edition By Dheersingh Dhabhai Useful For RPSC, REET, Teacher 1st Grade & 2nd Grade Exams",₹290,N/A,N/A
"Objective Psychology 3000+ MCQs Question Bank Book - Power Within Psychology - Useful for CUET, TISS, UGC NET JRF, MPhil Clinical psychology, UPHESC, SET, GATE, UPSC (Optional) - Edition 1 (2023)",₹809,4.1 out of 5 stars,4
Attitude Is Everything: Change Your Attitude ... Change Your Life!,₹173,4.5 out of 5 stars,"24,529"
Ikigai+ The Psychology of Money+ Atomic Habits ( Motivational 3 Books) [Paperback] Francess Mirellas Hector Garcia; James Clear and Morgan Housel,₹255,4.1 out of 5 stars,23
IGNOU Combo Package of BPCC 101 BPCC 102 BPCC 103 BPCC 104 IGNOU Help Books and IGNOU Study Notes for Exam Preparations (Latest Syllabus) Hindi Medium IGNOU BAPCH IGNOU BA (Honours) Psychology (CBCS) (Core Courses) BPCC-101 BPCC-102 BPCC-103 BPCC-104,₹589,4.0 out of 5 stars,2
PSYCHOLOGY - Class - XII,₹410,4.3 out of 5 stars,67
Psychology of Option Trading Book - Mahesh Chandra Kaushik,₹180,3.9 out of 5 stars,17
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
Unconscious,₹324.60,4.4 out of 5 stars,253
All In One Pschology 12th Class,₹220,4.7 out of 5 stars,42
EVOLUTIONARY PSYCHOLOGY,₹843,3.4 out of 5 stars,13
"NEERAJ M.A Psychology 1st Year Combo Books(M.P.C-01, M.P.C-2, M.P.C-3, M.P.C-4, M.P.C-5, M.P.C-6)– English Medium, IGNOU - Chapter Wise Help Book including Solved Sample – Published by Neeraj Publications",₹870,2.8 out of 5 stars,5
All In One Class 11th Psychology for CBSE Exam 2024,₹210,4.4 out of 5 stars,67
The Psychology of Money (Gujarati Edition),₹0,4.5 out of 5 stars,741
The Psychology of Money (Bengali),₹205,4.1 out of 5 stars,7
Psychology Made Easy for Class 12 | CBSE Examination 2023-24 | By P Jainett,₹310,4.0 out of 5 stars,1
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
The Time Machine,₹99,4.4 out of 5 stars,"4,520"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
Arihant CBSE Sample Question Paper Class 12 Psychology Book for 2024 Exam,₹158,3.8 out of 5 stars,5
"Men are from Mars, Women are from Venus",₹356,4.5 out of 5 stars,"14,193"
Chhaya ISC Psychology (English Version),₹395,4.3 out of 5 stars,57
Trading Chart Patterns Book | Including Candlesticks | Breakout Patterns | Risk Management | Indicators | Trading Psychology and more,₹299,N/A,N/A
The Psychology of Laziness | Mohammad Shakeel | CoolMitra,₹240,4.1 out of 5 stars,345
"Psychology of Option Trading ""ऑप्शन ट्रेडिंग"" Book in Hindi : An Ultimate Book to understand Share Market Psychology",₹180,4.4 out of 5 stars,124
Psychology For Class - 12 - 12123,₹110,4.4 out of 5 stars,888
Win Your Inner Battles,₹134,4.5 out of 5 stars,"2,800"
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
The Psychology of Money (Gujarati Edition),₹0,4.5 out of 5 stars,741
Avni Publication First Grade Education Psychology And Pedagogy With ICT (Shaikshik Manovigyan Evam Shikshashastra vah suchna takniki ) Sep 2023-24 By Dhngh Dhabhai F,₹238,1.0 out of 5 stars,1
Intelligent Investor Hindi Book + psychology of Money Book hindi Combo (Pack of 2 Books),₹370,4.5 out of 5 stars,2
ncert psychology class 11 and 12 textbook,₹260,4.4 out of 5 stars,343
Power of your Subconscious Min,₹134,4.5 out of 5 stars,"5,296"
Abnormal Psychology | By Pearson,₹899,4.6 out of 5 stars,674
Dark Psychology : (3 Books in 1): Manipulation and Dark Psychology; Persuasion and Dark Psychology; Dark NLP. The Definitive Guide to Detect and Defend Yourself from Dark Psychology Secrets,₹0,4.3 out of 5 stars,230
"MPhil Clinical Psychology (4 Books Set) - Professional Diploma in Clinical Psychology & PsyD Entrance Exam Preparation Book - New & Updated Edition 3, 2024 - Power Within Psychology & PSYNXT","₹2,699",4.6 out of 5 stars,229
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
The Power of Your Subconscious Mind,₹99,4.5 out of 5 stars,"81,119"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
Power of your Subconscious Min,₹134,4.5 out of 5 stars,"5,296"
"MPhil Clinical Psychology (4 Books Set) - Professional Diploma in Clinical Psychology & PsyD Entrance Exam Preparation Book - New & Updated Edition 3, 2024 - Power Within Psychology & PSYNXT","₹2,699",4.6 out of 5 stars,229
Motivational 4 Book):Rich dad poor dad+ Atomic Habit+ The Psychology Of Money+ Do Epic Shit [Paperback] Robert T. Kiyosaki; Morgan Housel; James Clear and Ankur Warikoo and Sudhir Dixit [Paperback] Robert T. Kiyosaki; Morgan Housel; James Clear and Ankur Warikoo and Sudhir Dixit,₹548,4.2 out of 5 stars,12
"Memory: How to Develop, Train and Use It | Original Edition | Premium Paperback",₹122,4.2 out of 5 stars,"6,365"
CUET-PG Psychology [HCQP20] MCQ Book With 3000 + Question Answer Unit Wise As per Updated Syllabus,₹699,4.0 out of 5 stars,1
The Psychology of Money (Malayalam),₹235,4.4 out of 5 stars,173
MINDSET: HOW YOU CAN FULFILL YOUR POTENTIAL,₹259,4.5 out of 5 stars,"9,742"
NIOS PSYCHOLOGY 328 CLASS 12 Guide Book and Chapter wise Reference Book with MANY SOLVED QUESTION PAPERS English MediumLatest Edition As Per Latest Syllabus [Paperback] Neeraj Publications,₹344,3.9 out of 5 stars,9
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
NTA UGC NET JRF Psychology 2024 - Paper 2 Preparation Book - Also useful for PhD / SET / GATE / UPHESC (Complete Syllabus with MCQs Question Bank included) - New and Updated Edition 3 (2024),₹999,4.4 out of 5 stars,159
Sab Kuch Psychology Hai,₹287,4.1 out of 5 stars,152
Textbook of Psychology for Homoeopathic Students: First,₹325,4.2 out of 5 stars,78
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
~Psychology Textbook For Class _11 Latest Edition 2023-24~ s400,₹146,5.0 out of 5 stars,1
"Dark Psychology and Gaslighting Manipulation: Uncover Mind Control Secrets, Learn Persuasion Techniques and Dark NLP - Master Body Language, Hypnosis, ... (Dark Psychology and Manipulation Book 1)",₹0,5.0 out of 5 stars,1
NEP Sakaratmak Manovigyan सकारात्मक मनोविज्ञान Positive Psychology B.A. 5th Semester,₹99,N/A,N/A
The Interpretation of Dreams,₹179,4.4 out of 5 stars,"1,076"
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
The Time Machine,₹99,4.4 out of 5 stars,"4,520"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
"CUET (UG) Entrance Exam Psychology Book 2024, 11 Actual Papers & Mocks, 50+ CUET Mocks Bonus Digital Access on Hitbullseye",₹220,5.0 out of 5 stars,1
Diagnostic And Statistical Manual Of Mental Disorders 5Ed Dsm-5 (PB 2013),"₹1,080",4.6 out of 5 stars,"3,292"
Option Trading Se Paison Ka Ped Kaise Lagayen + Price Action Trading + The Art of Intraday Trading + Psychology of Option Trading (Set of 4 Books) - Hindi,₹531.05,5.0 out of 5 stars,2
"Counseling, 8e",₹549,4.4 out of 5 stars,400
TRT Hub The Psychology of Money + The Monk who sold his Ferrari ( Books Combo with Free Customized Bookmarks) [Paperback] Morgan Housel and Robin Sharma,₹299,3.3 out of 5 stars,6
Psychology of Life : Truth and Tips,₹150,3.7 out of 5 stars,51
Surrounded by Idiots,₹322,4.4 out of 5 stars,"8,922"
Complete solution of PSYCHOLOGY AND PEDAGOGY | Bilingual(Hindi+english) | useful for all teaching exams,₹250,5.0 out of 5 stars,2
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
Everything is Psychology,₹235,4.1 out of 5 stars,99
NIOS PSYCHOLOGY 328 CLASS 12 Guide Book and Chapter wise Reference Book with MANY SOLVED QUESTION PAPERS English MediumLatest Edition As Per Latest Syllabus [Paperback] Neeraj Publications,₹344,3.9 out of 5 stars,9
The Psychology of Money,₹179,5.0 out of 5 stars,4
The Power of A Positive Attitude: Your Road To Success,₹99,4.4 out of 5 stars,"4,399"
"Dark Psychology and Gaslighting Manipulation: Uncover Mind Control Secrets, Learn Persuasion Techniques and Dark NLP - Master Body Language, Hypnosis, ... (Dark Psychology and Manipulation Book 1)",₹0,5.0 out of 5 stars,1
TS TET 2021 PSYCHOLOGY TET Paper I and II Child Development and Pedagogy [ TELUGU MEDIUM ],₹289,4.4 out of 5 stars,23
Oswaal NTA CUET (UG) 5 Mock Test Papers Psychology For 2024 Exam,₹159,4.9 out of 5 stars,30
NTA UGC NET/JRF/ SET Paper 2 Psychology,₹491,3.5 out of 5 stars,30
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
A Nation of Idiots,₹399,4.1 out of 5 stars,478
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
NTA UGC NET JRF Psychology 2024 - Paper 2 Preparation Book - Also useful for PhD / SET / GATE / UPHESC (Complete Syllabus with MCQs Question Bank included) - New and Updated Edition 3 (2024),₹999,4.4 out of 5 stars,159
And How Do You Feel About That?: Breakdo: Breakdowns and Breakthroughs in the Therapy Room,₹245,4.6 out of 5 stars,98
The Four Agreements: A Practical Guide to Personal Freedom,₹270,4.4 out of 5 stars,"107,884"
Statistics in Psychology and Education,₹306,4.5 out of 5 stars,774
Psychology Of Serenity: The Path to Serenity : Four Practices for a Focused and Fulfilling Life,₹0,5.0 out of 5 stars,3
Avni Publication Second Grade Education Psychology (Shiksha Manovigyan) Dheer Singh Dhabhai Useful For RPSC Grade 2nd And PTI- II +III GRADE And Lab Assistant Examination (+Shipping),₹200,3.0 out of 5 stars,1
The Psychology of Selling,₹236,3.5 out of 5 stars,19
Hanada Manovijnana (The Psychology of Money),₹175,4.3 out of 5 stars,252
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
THINK AND GROW RICH (PB),₹99,4.4 out of 5 stars,"74,153"
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,₹148,4.4 out of 5 stars,"27,591"
Greatest Works by James Allen Set of 4 Books As a Man Thinketh The Path to Prosperity Shape Your Life And Your Destiny The Life Triumphant Mastering the Heart and Mind,₹299,4.5 out of 5 stars,64
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,₹493,4.6 out of 5 stars,"28,085"
YOUTH COMPETITION TIMES Psychology (Manovigyan) NTA UGC - NET / JRF | Solved Papers | Hindi Medium | 2024,₹650,5.0 out of 5 stars,1
"Social Psychology, 14/e",₹659,4.6 out of 5 stars,874
NCERT textbooks psychology class 11 &12 in hindi (manovigyan),₹208,4.2 out of 5 stars,211
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
"Social Psychology, 14/e",₹659,4.6 out of 5 stars,874
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
EDUCATIONAL PSYCHOLOGY : A textbook of Education prepared as per the new NEP syllabus for B. A. 2nd Semester students of Gauhati University : As per NEP Syllabus : FYUGP.,₹350,N/A,N/A
The Interpretation of Dreams by Sigmund Freud (Deluxe Hardbound Edition),₹429,4.4 out of 5 stars,248
NCERT Psychology Textbook For Class_12 Latest Edition as per NCERT/CBSE 12123,₹118,N/A,N/A
"NEERAJ PUBLICATION IGNOU MA Psychology 1st Year Set Of 6 Combo Books (MPC-1,MPC-2,MPC-3,MPC-4,MPC-5,MPC-6 )in ENGLISH Medium [Flexi bound]",₹915,3.5 out of 5 stars,14
Introduction To Psychology (2020-21),N/A,4.4 out of 5 stars,799
Breakout Trading Made Easy: Maximize Your Profits with Simple Price Action Strategies,₹299,4.8 out of 5 stars,"1,397"
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
INTRODUCTION TO PSYCHOLOGY 7th Edition (English),₹647,4.3 out of 5 stars,152
Psychology For Class - 11 - 11114,₹95,4.4 out of 5 stars,"1,199"
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did): THE #1 SUNDAY TIMES BESTSELLER,₹309.13,4.5 out of 5 stars,"9,750"
Atomic Habits ( Hindi ) + The Psychology of Money ( Hindi ),₹236,4.1 out of 5 stars,58
"Found of Physiological Psychology w/CD, 6e",₹739,4.5 out of 5 stars,99
"NEERAJ MPC-3 Personality: Theories And Assessment- English Medium, for MA- IGNOU - Chapter Wise Help Book / Guide including Many Solved Sample Papers and Important Exam Notes– Published by Neeraj Publications",₹208,3.9 out of 5 stars,6
கல்வி உளவியல் ( Educational Psychology),₹260,N/A,N/A
NTA-UGC-NET/JRF: Psychology (Paper II) Exam Guide,₹278,4.2 out of 5 stars,118
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Psychology, 6e",₹679,4.4 out of 5 stars,159
"NEERAJ MPC-3 Personality: Theories And Assessment- English Medium, for MA- IGNOU - Chapter Wise Help Book / Guide including Many Solved Sample Papers and Important Exam Notes– Published by Neeraj Publications",₹208,3.9 out of 5 stars,6
கல்வி உளவியல் ( Educational Psychology),₹260,N/A,N/A
Child Psychology & Development,₹360,4.1 out of 5 stars,28
"Dark Psychology: Prabhavan, Prerna, Dhokha aur Gupt, NLP Takneeko ke Rahasya",₹175,4.6 out of 5 stars,6
NIOS PSYCHOLOGY 222 CLASS 10 Guide Book and Chapter wise Reference Book with MANY SOLVED QUESTION PAPERS English MediumLatest Edition As Per Latest Syllabus [Paperback] Neeraj Publications,₹217,4.0 out of 5 stars,1
The 5 AM Club,₹240,4.5 out of 5 stars,"31,400"
TOP NIOS Class 12 Psychology 328 Guide + TOP 20 Most Important Question Answers (Mini Book) - Set of 2 Books,₹250,2.0 out of 5 stars,1
"Psychology Of Winning, The: Ten Qualities of a Total Winner",₹470,4.7 out of 5 stars,519
