Product_Name,Original Price,Ratings,Number of Reviews
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
Together with CUET UG Psychology Solved Question Bank for Entrance Exam 2024 (Chapterwise & Topicwise),₹299,5.0 out of 5 stars,1
Education- Child Psychology Philosophy & Pedagogy,₹180,4.0 out of 5 stars,2
Safal Selling Ka Manovigyan: Apni Selling Ko Aur Bhi Prabhavshali Va Aasan Banayein (Hindi Edition of Psychology of Selling),₹315,4.5 out of 5 stars,344
The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did): THE #1 SUNDAY TIMES BESTSELLER,₹309.13,4.5 out of 5 stars,"9,750"
Oswaal CBSE Sample Question Papers Class 12 Psychology (For Board Exams 2024) | 2023-24,₹239,4.8 out of 5 stars,22
Avni Publication Avni Objective Education Psychology (Vastunisth Shiksha Vigyan) Third New Edition 2022-23 Including By Dheersingh Dhabhai Useful For Rpsc Examination,₹189,4.4 out of 5 stars,11
EDUCATIONAL PSYCHOLOGY PEDAGOGY AND ICT FOR SCHOOL LECTURER | GRADE 1st EXAM,₹275,N/A,N/A
Positive Psychology,₹515,4.3 out of 5 stars,283
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
Decode Her | What She Wants | Women Psychology | Dr. Neha Mehta,₹239,N/A,N/A
"MPC001 Cognitive Psychology, Learning and Memory (IGNOU Help book for MPC-001 in English Medium... [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications",₹213,3.9 out of 5 stars,52
"Flow: The Classic Work On How To Achieve Happiness: The Psychology of Happiness [Paperback] Csikszentmihalyi, Mihaly",₹506,4.5 out of 5 stars,"2,324"
NTA UGC NET/JRF Psychology Book 2024 - Concerned Subject : Paper II (English Edition) - 10 Mock Tests (1000 Solved Questions) with Free Access to Online Tests,₹150,4.2 out of 5 stars,53
"Warren Buffett Yanche Guntavanuk Mantra Book; Intelligent Investment of money Books in Marathi, वॉरन बफे मराठी पुस्तक, वॉरेन, Investor Psychology",₹149,4.4 out of 5 stars,164
Dhan Sampatti Ka Manovigyan - The Psychology of Money (Hindi) & Rich Dad Poor Dad (Hindi) Combo of 2 Books,₹489,5.0 out of 5 stars,1
"Atomic Habits - Savayi Lahan, Parinam Mahan + The Psychology of Money - Paishache Manasshastra - Set of 2 Books (Marathi)",₹600,4.7 out of 5 stars,4
DSSSB PRT NTT PRINCIPAL BILINGUAL EDUCATIONAL PSYCHOLOGY SHEKSHIK MANOVIGYAN 3600 OBJECTIVE QUESTIONS (English +Hindi) (Paperback Sushil saroha),₹650,3.1 out of 5 stars,4
"Psychology, 6e",₹679,4.4 out of 5 stars,159
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Anxiety: The Only Book You Will Need To Rewire Your Anxious Brain Into Gaining Self Confidence (Depression, Stress, Anger, Stop Worrying, Panic, Fear, Shyness, Healing)",₹0,4.3 out of 5 stars,43
IGNOU MA Psychology First Year Help Books Combo-MPC-001| MPC-002 | MPC-003 | MPC-004 | MPC-005 | MPC-006 English Medium,"₹1,020",4.3 out of 5 stars,28
The Sane Psychopath,₹159,4.1 out of 5 stars,341
"ADVANCED EDUCATIONAL PSYCHOLOGY, 2ND EDN",₹417,4.5 out of 5 stars,"1,198"
Educational Psychology Pedagogy & ICT - RPSC 1st Grade School Lecturer by Dr. Lucky Ahuja (English),₹299,N/A,N/A
FLOW: The Psychology of Optimal Experience (Harper Perennial Modern Classics),₹742,4.4 out of 5 stars,"6,496"
NTA-UGC-NET/JRF: Psychology (Paper II) Exam Guide,₹278,4.2 out of 5 stars,118
"Psychology of Human Behavior: 5 Books in 1 - Enneagram, Emotional Intelligence, Empath, Self-Discipline, Anger Management","₹2,387",3.8 out of 5 stars,3
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
Applied Psychology for Nurses,₹428,4.5 out of 5 stars,2
Perfect Book Place The Psychology of Money,₹209,N/A,N/A
CUET UG Psychology 2024,₹180,N/A,N/A
"NEERAJ MPC-5 Research Methods In Psychology- English Medium,for MA, IGNOU - Chapter Wise Help Book / Guide including Many Solved Sample Papers and Important Exam Notes– Published by Neeraj Publications",₹220,3.4 out of 5 stars,3
"Statistics for Psychology, 6/e",₹694,4.2 out of 5 stars,49
Mastering Trading Psychology,₹0,4.4 out of 5 stars,789
IGNOU MPCE 46 Help Book Applied Positive Psychology (5th Edition) (IGNOU Study Notes/Guidebook) (New Syllabus) including Solved Sample Papers IGNOU MA Psychology MAPC 2nd Year mpce46,₹149,3.1 out of 5 stars,5
The Development of Psychology,₹193.34,N/A,N/A
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
"Mandala Coloring Book: Mandala Coloring Book for Adults: Beautiful Large Ancient Civilizations, Egyptian, Indian and Tribal Patterns and Floral ... and Seniors for stress relief and relaxations",₹419,N/A,N/A
Who Will Cry When You Die?,₹175,4.4 out of 5 stars,"20,142"
Maybe You Should Talk To Someone,₹480,4.6 out of 5 stars,"42,205"
Modern Clinical Psychology (Pb 2004),₹396,4.2 out of 5 stars,126
NCERT Psychology for - Class 12 - WITH BINDING,₹190,4.2 out of 5 stars,60
"A school counsellor casebook, Vikram Patel",₹549,4.5 out of 5 stars,75
Textbook of ISC Psychology Class 11 (Textbook of ISC Psychology Class 11),₹274.99,4.1 out of 5 stars,22
Options Trading Psychology: The Art of Mastering Your Trading Mindset for Financial Freedom (How To Trade Options For A Living),₹0,3.6 out of 5 stars,8
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
Psychology in Education/கல்வியில் மனவியல்/B.Ed. Exam Book in Tamil/Won the Govt. Award,₹500,3.8 out of 5 stars,17
UGC NET Paper II Psychology Study Notes Combo (Set of 4 Books) | Complete Preparation Kit with Topic-wise Notes and Solved MCQs,"₹1,250",3.0 out of 5 stars,2
Objective Psychology,₹197,4.2 out of 5 stars,6
Psychology Textbook For Class 12th In English Studies For Education Reading & Teaching Latest edition 2023-24,₹150,3.0 out of 5 stars,1
NCERT Psychology for - Class 12 - WITH BINDING,₹190,4.2 out of 5 stars,60
"NEERAJ MPC-6 Statistics In Psychology - English Medium,for MA- IGNOU - Chapter Wise Help Book / Guide including Many Solved Sample Papers and Important Exam Notes– Published by Neeraj Publications",₹180,4.7 out of 5 stars,7
World's Greatest Library : A Collection of 200 Inspiring Personalities (Box Set of 8 Biographies),₹699,4.4 out of 5 stars,496
"The Art of Intraday Trading ""द आर्ट ऑफ़ इंट्राडे ट्रेडिंग"" | Perfect book to Learn Trading Psychology & Options Strategies in Hindi",₹180,3.9 out of 5 stars,105
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
IGNOU MA Psychology First Year Help Books Combo-MPC-001| MPC-002 | MPC-003 | MPC-004 | MPC-005 | MPC-006 English Medium,"₹1,020",4.3 out of 5 stars,28
NTA-UGC-NET/JRF: Psychology (Paper II) Previous Years' Papers,₹178,4.2 out of 5 stars,48
Educational Psychology Pedagogy & ICT - RPSC 1st Grade School Lecturer by Dr. Lucky Ahuja (English),₹299,N/A,N/A
Essentials of Education Psychology,₹567,4.4 out of 5 stars,694
Textbook of ISC Psychology Class 11 (Textbook of ISC Psychology Class 11),₹274.99,4.1 out of 5 stars,22
"Smart Money Mastery: Transform Your Finances in 15 Minutes a Week with the Ultimate Blueprint: Breaking Free from Paycheck to Paycheck Living, Unveiling the Secrets of Financial Prosperity",₹0,N/A,N/A
The Wealth Money Can't Buy: The 8 Hidden Habits to Live Your Richest Life Paperback – 9 April 2024,₹419,N/A,N/A
Inside the Criminal Mind: Revised and Updated Edition,₹704.69,4.6 out of 5 stars,"1,309"
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
"Abnormal Psychology, 11e",₹689,4.5 out of 5 stars,153
Statistics in Psychology and Education,₹250,4.3 out of 5 stars,201
Influence (Marathi) | इन्फ्ल्यूअन्स : मने जिंकणाचे मानसशास्त्र,₹390,4.6 out of 5 stars,3
9000+ objective educational psychology by Sushil Saroha,₹980,4.3 out of 5 stars,107
TS TET Psychology (Paper I & II) Child Development and Pedagogy 2023 (Telugu Medium),₹280,5.0 out of 5 stars,1
= Psychology Textbook For Class 12th Latest Edition as per NCERT/CBSE =,₹137,N/A,N/A
Counselling Children with Psychological Problems,₹352,4.1 out of 5 stars,61
Ib Psychology Course Book: Oxford Ib Diploma Programme,"₹2,759",4.5 out of 5 stars,102
Shaikshanika Manovignana (Kannada),₹300,4.3 out of 5 stars,96
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
Psychology: Learn Influence And Persuasion And Read Body Language (Advanced Nlp Mindset: The New Psychology Of Success To Skyrocket Your Life And Your Career),₹0,3.8 out of 5 stars,301
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,₹313,4.6 out of 5 stars,"17,076"
CBSE All In One Psychology Class 11 2022-23 Edition,₹258,4.5 out of 5 stars,24
Active Parenting: How to Raise Children with Boundless Potential,₹242.69,4.4 out of 5 stars,246
Psychology of Option Trading + Option Trading Se Paison Ka Ped Kaise Lagayen (Set of 2 Books) - Hindi,₹399,3.3 out of 5 stars,7
You Can,₹99,4.3 out of 5 stars,"4,802"
"Smart Money Mastery: Transform Your Finances in 15 Minutes a Week with the Ultimate Blueprint: Breaking Free from Paycheck to Paycheck Living, Unveiling the Secrets of Financial Prosperity",₹0,N/A,N/A
Gujarati Rich Dad Poor Dad + Psychology of Money (Set of 2 Books),₹690,4.2 out of 5 stars,6
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
How to Stop Worrying and Start Living by Dale Carnegie,₹219,5.0 out of 5 stars,1
Applied Psychology for Nurses,₹595,4.5 out of 5 stars,140
The Almanack Of Naval Ravikant: A Guide to Wealth and Happiness,₹313,4.6 out of 5 stars,"17,076"
Active Parenting: How to Raise Children with Boundless Potential,₹242.69,4.4 out of 5 stars,246
You Can,₹99,4.3 out of 5 stars,"4,802"
Oswaal NTA CUET (UG) 5 Mock Test Papers Psychology (For 2023 Exam),₹98,4.5 out of 5 stars,49
Gujarati Rich Dad Poor Dad + Psychology of Money (Set of 2 Books),₹690,4.2 out of 5 stars,6
Counselling Psychology,₹171,3.8 out of 5 stars,11
Aalas Ka Manovigyan | (The Psychology of Laziness) | Mohammad Shakeel | CoolMitra,₹230,4.1 out of 5 stars,500
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
'That' Girl's Diary,₹0,5.0 out of 5 stars,13
IGNOU BPCC 101 Help Book Introduction to Psychology IGNOU Study Notes for exam Preparations (Latest Syllabus) IGNOU BAPCH IGNOU BA Honours Psychology BPCC-101,₹149,5.0 out of 5 stars,1
"MPC001 Cognitive Psychology, Learning and Memory (IGNOU Help book for MPC-001 in English Medium... [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications [Paperback] Expert Panel of GPH Publications",₹213,3.9 out of 5 stars,52
TEXTBOOK OF APPLIED SOCIOLOGY AND PSYCHOLOGY FOR BSC NURSING STUDENTS BASED ON INC SYLLABUS 2021-2022 SEMESTER I (PB 2022),₹496,3.2 out of 5 stars,10
CBSE All In One Psychology Class 11 2022-23 Edition,₹258,4.5 out of 5 stars,24
Top Psychology T- 328 (NIOS) English Medium class 12 National institute of Open Schooling,₹160,4.0 out of 5 stars,1
Applied Psychology 3/e,₹349,4.5 out of 5 stars,521
SURA`S TNUSRB Sub Inspector SI Psychology and Previous Year Question Papers Book in Tamil Medium - Latest Edition 2023,₹360,N/A,N/A
Siddhartha,₹99,4.5 out of 5 stars,"19,173"
The Psychology of Money,₹275,4.6 out of 5 stars,"59,450"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
How to Stop Worrying and Start Living by Dale Carnegie,₹219,5.0 out of 5 stars,1
Oswaal CBSE Chapterwise Solved Papers 2023-2014 Psychology Class 12th (2024 Exam),₹318,4.6 out of 5 stars,122
Influence (Marathi) | इन्फ्ल्यूअन्स : मने जिंकणाचे मानसशास्त्र,₹390,4.6 out of 5 stars,3
"DARK PSYCHOLOGY AND MANIPULATION MASTERY BIBLE 7 Books in 1: How to Analyze People, Mind Control & Persuasion, Hypnosis, Empath, Anger Management, Cognitive Behavioral Therapy, Emotional Intelligence","₹2,598",4.7 out of 5 stars,4
B.A First Year PSYCHOLOGY [ ENGLISH MEDIUM ],₹275,4.4 out of 5 stars,5
7 Easy ways to handle any Emotional Overwhelming situation,₹0,5.0 out of 5 stars,21
Arihant NTA CUET UG Exam Guide For Section 2 Domain Humanities History | Geography | Psychology | Political Science | Sociology | Home Science For 2024 Exam,₹339,N/A,N/A
व्यावहारिक मनोविज्ञान (Applied Psychology) By Dr. Vimal Agarwal For various unversities in india - SBPD Publications (2019-20),₹252,3.5 out of 5 stars,14
Manasshashtra:General Psychology(Marathi): Varte Nache Sashtra (The Science of Behaviour),₹375,4.2 out of 5 stars,46
The 5 AM Club (Gujarati),₹216,4.6 out of 5 stars,564
The 5 AM Club (Telugu),₹267,4.2 out of 5 stars,411
"Positive Psychology, Sakaratmak Manovigyan (Hindi Medium) By Dr. Madhu Jain",₹298,4.2 out of 5 stars,5
Psychology: Learn Influence And Persuasion And Read Body Language (Advanced Nlp Mindset: The New Psychology Of Success To Skyrocket Your Life And Your Career),₹0,3.8 out of 5 stars,301
Think and Grow Rich: THE 21st CENTURY EDITION,₹99,4.5 out of 5 stars,"5,359"
Practical Yoga Psychology,₹230,4.5 out of 5 stars,182
Dark Psychology Secrets & Manipulation (Hindi Edition) + NLP Secrets (English) combo set of 2 Books,₹325,3.0 out of 5 stars,2
Spirituality For Leadership and Success Box Set of 5 Books Gita Vedanta Hinduism Buddha Vivekananda,₹449,4.3 out of 5 stars,364
THE CONCISE LAWS OF HUMAN NATURE,₹325,4.5 out of 5 stars,"1,092"
Sternberg Cognitive Psychology 7 th ed Original LICENSED edition,₹762,5.0 out of 5 stars,2
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
How to Stop Worrying and Start Living by Dale Carnegie,₹219,5.0 out of 5 stars,1
Sternberg Cognitive Psychology 7 th ed Original LICENSED edition,₹762,5.0 out of 5 stars,2
"PSYCHOLOGY: THE STUDY OF HUMAN BEHAVIOUR, 2ND EDN",₹464,4.3 out of 5 stars,252
Psychology of Money + Learn to Earn (Combo set of 2 books) In English,₹297,4.0 out of 5 stars,28
Complete Solution Of Psychology and Pedagogy (Bilingual) 2nd Revised Edition,₹450,4.0 out of 5 stars,1
Psychology for Beginners: Introduction to the Basics of Psychology - Simple Explanation of 25 psychological Effects,₹515,4.2 out of 5 stars,224
Marathi The Psychology of Money,₹250,N/A,N/A
मैडम कमिश्नर: एक भारतीय पोलिसा प्रमुखाचे विलक्षण जीवना,₹353,N/A,N/A
Mind Games : The Dual Facets of Manipulation and Dark Psychology Novel Book By David Alan Binder,₹251,5.0 out of 5 stars,1
The 5 AM Club (Gujarati),₹216,4.6 out of 5 stars,564
The 5 AM Club (Telugu),₹267,4.2 out of 5 stars,411
How To Develop Self-Confidence And Influence People By Public Speaking (TELUGU),₹148,4.1 out of 5 stars,68
Statistics In Psychology And Education,₹350,4.2 out of 5 stars,15
"The Art of Positive Parenting : Understanding Child Psychology, Stages of Development, Common Parenting Issues and The Most Effective Way of Raising a Child in 21st Century",₹239,4.0 out of 5 stars,22
Positive Psychology: The Psychological Bases of Positivity in Life (Sakaratmak Manovigyan: Jeevan mein Sakaratmakta ke Manovaigyanik Aadhar),₹495,4.8 out of 5 stars,5
Developmental Psychology: An Advanced Textbook,₹616,4.7 out of 5 stars,4
"Boost Your Mental Health: with Love, Intimacy Romance & Determination",₹0,5.0 out of 5 stars,9
B.Ed Philosophical Perspectives in Education [ TELUGU MEDIUM ],₹215,2.9 out of 5 stars,9
Criminal Psychology,₹371,4.6 out of 5 stars,10
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
How to Stop Worrying and Start Living by Dale Carnegie,₹219,5.0 out of 5 stars,1
Textbook of Psychology and Sociology for GNM Students,₹379,3.6 out of 5 stars,4
Best of Psychology Reads (Set of 2 Books),₹315,N/A,N/A
The Little Book of Psychology (Big Ideas),₹435.69,4.4 out of 5 stars,47
Educational Psychology (Shiksha Manovigyan) Textbook,₹189,3.8 out of 5 stars,26
SURA'S TRB Teachers Recruitment Board PG Educational Psychology Tamil Exam Books - LATEST EDITION 2022,₹270,4.4 out of 5 stars,17
The Psychology of Parenting Teenagers: Thriving throughout their teenage years (Practical Guide Series),₹317,4.5 out of 5 stars,2
8 Colored Psychotypes: Behavioral Psychology in Color: Personal Growth and Relationship Building for Every Individual,₹0,5.0 out of 5 stars,1
"Narain's Child Psychology Refresher Course [Paperback] DR. KUMAR-For B.A. (Pass & Honours), M.A. Civil Services, Preliminary Subordinate Services and Other Competitive Examinations",₹164,5.0 out of 5 stars,1
The 5 AM Club (Gujarati),₹216,4.6 out of 5 stars,564
The 5 AM Club (Telugu),₹267,4.2 out of 5 stars,411
Think & Grow Rich,₹119,4.5 out of 5 stars,"4,394"
Man Ka Shor: Vicharon Ke Kolahal Se Mukti Kaise Payein (Hindi Edition Of Chatter),₹222,4.4 out of 5 stars,14
"To Sell is Human: The Surprising Truth About Persuading, Convincing, and Influencing Others [Paperback] Pink, Daniel H.",₹437,4.4 out of 5 stars,"4,116"
Rich Dad Poor Dad + Psychology of money (Hindi) Set Of 2 Novels,₹299,4.2 out of 5 stars,17
Cognitive Psychology: In And Out Of The Laboratory,₹648.45,4.5 out of 5 stars,169
KIRAN EDUCATION PSYCHOLOGY & PEDAGOGY 4000+ OBJ QUESTIONS,₹385,4.0 out of 5 stars,299
KARMA: A YOGI'S GUIDE TO CRAFTING YOUR DESTINY,₹290,4.7 out of 5 stars,"15,110"
CUET-UG: PSYCHOLOGY (Section-II: Domain Specific Subject) Entrance Test Guide,₹148,5.0 out of 5 stars,2
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
How to Stop Worrying and Start Living by Dale Carnegie,₹219,5.0 out of 5 stars,1
"Golden Psychology Class 11 : Based on CBSE Guidelines & NEW NCERT Textbooks For 2024 Final Exams, includes Objective Type Question Bank)",₹250,5.0 out of 5 stars,1
Marathi The Psychology of Money,₹250,N/A,N/A
NTA-UGC-NET/JRF: Psychology (Paper II) Previous Years' Papers,₹178,4.2 out of 5 stars,48
B.Ed. Sociological Perspectives of Education [ TELUGU MEDIUM ],₹165,4.1 out of 5 stars,16
"Expert Secrets - Dark Psychology & How to Analyze People: The Ultimate Guide for Analyzing and Proven Methods for Body Language, Emotional Influence, Manipulation, NLP, Persuasion, and Speed Reading!","₹1,248",5.0 out of 5 stars,1
DARK PSYCHOLOGY AND MANIPULATION TECHNIQUES : Learn the Art of Persuasion and Psychological Manipulation by Studying Body Language (2022 Guide for Beginners),₹243,2.0 out of 5 stars,2
Talks To Teachers On Psychology : And To Students On Some Of Life's Ideals [Paperback] William James,₹148.75,N/A,N/A
8 Colored Psychotypes: Behavioral Psychology in Color: Personal Growth and Relationship Building for Every Individual,₹0,5.0 out of 5 stars,1
The 5 AM Club (Gujarati),₹216,4.6 out of 5 stars,564
The 5 AM Club (Telugu),₹267,4.2 out of 5 stars,411
Gullybaba IGNOU CBCS BA (Honours) 1st Sem BPCC-101 General Psychology in English - Latest Edition IGNOU Help Book with Solved Previous Year's Question Papers and Important Exam Notes,₹169,3.4 out of 5 stars,6
Dream Psychology Psychoanalysis for Beginners,₹217,4.1 out of 5 stars,"1,633"
BPC-02 Developmental Psychology,₹200,3.9 out of 5 stars,32
NCERT Manovigyan Ka Parichaya In Hindi med. for – Class 12 – latest edition as per NCERT/CBSE with binding,₹117,4.6 out of 5 stars,6
SIKSHA MANOVIGYAN (EDUCATIONAL PSYCHOLOGY),₹499,4.2 out of 5 stars,244
Most Popular Motivational Books for Self Development in Bengali : Ikigai + The Richest Man in Babylon + Think And Grow Rich + The Power Of Your ... Mind + How to Win Friends & Influence People,₹535,3.8 out of 5 stars,8
influence: The Psychology of Persuasion (Collins Business Essentials),₹580,4.4 out of 5 stars,"13,184"
Education Psychology and Pedagogy 4000+ Objective Questions (with detailed explanations) (English Medium) (4015),₹419,3.5 out of 5 stars,7
"Psychology, 6e",₹679,4.4 out of 5 stars,159
HOW TO WIN FRIENDS AND INFLUENCE PEOPLE,₹88,4.5 out of 5 stars,"3,984"
"Same As Ever: Timeless Lessons on Risk, Opportunity and Living a Good Life",₹300,4.4 out of 5 stars,"1,436"
How to Stop Worrying and Start Living by Dale Carnegie,₹219,5.0 out of 5 stars,1
